Word,Prefix_Stem,Prefix_Suffix,Suffix_Stem,Suffix_Suffix
fate,fa,te,fat,e
interment,in,terment,intermen,t
obscurity,o,bscurity,obscurit,y
failure,fa,ilure,failur,e
lyrics,l,yrics,lyric,s
chance,c,hance,chanc,e
show,s,how,sh,ow
entries,e,ntries,entrie,s
songs,s,ongs,song,s
others,o,thers,other,s
part,pa,rt,par,t
repertory,re,pertory,repertor,y
album,a,lbum,alb,um
gems,g,ems,gem,s
collection,co,llection,collecti,on
song,s,ong,son,g
forecast,fo,recast,forecas,t
wit,wi,t,wi,t
melody,m,elody,melod,y
years,y,ears,year,s
listing,li,sting,list,ing
attractions,a,ttractions,attraction,s
style,s,tyle,styl,e
lyrics,l,yrics,lyric,s
song,s,ong,son,g
songs,s,ongs,song,s
quintet,qui,ntet,quint,et
vocalists,vo,calists,vocalist,s
accompaniment,a,ccompaniment,accompanimen,t
season,s,eason,seas,on
arrivals,a,rrivals,arrival,s
cast,ca,st,cas,t
album,a,lbum,alb,um
LOC,L,OC,LO,C
stereo,s,tereo,stere,o
LSO,L,SO,LS,O
moments,m,oments,moment,s
praise,p,raise,prais,e
show,s,how,sh,ow
earnestness,e,arnestness,earnestnes,s
burden,bu,rden,burd,en
spots,s,pots,spot,s
score,s,core,scor,e
star,s,tar,st,ar
billing,bi,lling,bill,ing
appearances,a,ppearances,appearance,s
parody,pa,rody,parod,y
college,co,llege,colleg,e
anthems,a,nthems,anthem,s
song,s,ong,son,g
girl,g,irl,gir,l
yip,y,ip,yi,p
voice,vo,ice,voic,e
job,jo,b,jo,b
lyricist,l,yricist,lyric,ist
composer,co,mposer,compos,er
composer,co,mposer,compos,er
lyriist,l,yriist,lyri,ist
LOC,L,OC,LO,C
stereo,s,tereo,stere,o
LSO,L,SO,LS,O
case,ca,se,cas,e
music,m,usic,mus,ic
lyrics,l,yrics,lyric,s
story,s,tory,stor,y
couple,co,uple,coupl,e
love,lo,ve,lov,e
songs,s,ongs,song,s
dance,da,nce,danc,e
music,m,usic,mus,ic
voices,vo,ices,voice,s
melodies,m,elodies,melodie,s
change,c,hange,chang,e
pace,pa,ce,pac,e
humor,hu,mor,hum,or
ideas,i,deas,idea,s
ballad,ba,llad,balla,d
style,s,tyle,styl,e
manner,ma,nner,mann,er
tunefulness,t,unefulness,tunefulnes,s
idioms,i,dioms,idiom,s
music,m,usic,mus,ic
lyrics,l,yrics,lyric,s
book,bo,ok,boo,k
stereo,s,tereo,stere,o
SWAO,S,WAO,SWA,O
saga,sa,ga,sag,a
life,li,fe,lif,e
cruise,c,ruise,cruis,e
ship,s,hip,shi,p
works,work,s,work,s
melodies,m,elodies,melodie,s
songs,s,ongs,song,s
lyrics,l,yrics,lyric,s
quality,qua,lity,qualit,y
huskiness,hu,skiness,huskines,s
life,li,fe,lif,e
songs,s,ongs,song,s
members,m,embers,member,s
cast,ca,st,cas,t
songs,s,ongs,song,s
films,fi,lms,film,s
months,m,onths,month,s
right,ri,ght,righ,t
shot,s,hot,sho,t
presentation,p,resentation,presentati,on
titles,t,itles,title,s
mistake,mis,take,mistak,e
drama,d,rama,dram,a
import,i,mport,impor,t
occupation,o,ccupation,occupati,on
city,c,ity,cit,y
picture,pi,cture,pictur,e
color,co,lor,col,or
pull,p,ull,pul,l
moments,m,oments,moment,s
viewpoint,vi,ewpoint,viewpoin,t
conquerors,co,nquerors,conqueror,s
film,fi,lm,fil,m
shoulders,s,houlders,shoulder,s
couple,co,uple,coupl,e
sides,s,ides,side,s
aftermath,a,ftermath,afterma,th
picture,pi,cture,pictur,e
romance,ro,mance,romanc,e
expense,e,xpense,expens,e
camera,ca,mera,camer,a
love,lo,ve,lov,e
nurse,nu,rse,nurs,e
teacher,te,acher,teach,er
friend,f,riend,frien,d
story,s,tory,stor,y
war,wa,r,w,ar
war,wa,r,w,ar
viewer,vi,ewer,view,er
seasons,s,easons,season,s
concern,co,ncern,concer,n
discord,dis,cord,discor,d
society,s,ociety,societ,y
dilettante,di,lettante,dilettant,e
picture,pi,cture,pictur,e
direction,di,rection,directi,on
troops,t,roops,troop,s
surrender,s,urrender,surrend,er
gesture,g,esture,gestur,e
camera,ca,mera,camer,a
shot,s,hot,sho,t
cathedral,ca,thedral,cathedr,al
cobblestone,co,bblestone,cobbleston,e
square,s,quare,squar,e
drop,d,rop,dro,p
weapons,we,apons,weapon,s
pages,pa,ges,page,s
while,whi,le,whil,e
book,bo,ok,boo,k
reader,re,ader,read,er
sense,s,ense,sens,e
experience,e,xperience,experienc,e
chronicle,c,hronicle,chronicl,e
man,ma,n,m,an
otter,o,tter,ott,er
cottage,co,ttage,cottag,e
ring,ri,ng,r,ing
water,wa,ter,wat,er
poem,po,em,poe,m
title,t,itle,titl,e
bond,bo,nd,bon,d
world,wo,rld,worl,d
author,a,uthor,auth,or
place,p,lace,plac,e
site,s,ite,sit,e
isle,i,sle,isl,e
land,la,nd,lan,d
fjords,f,jords,fjord,s
people,p,eople,peopl,e
road,ro,ad,roa,d
miles,m,iles,mile,s
stags,s,tags,stag,s
geese,g,eese,gees,e
swans,s,wans,swan,s
dolphins,do,lphins,dolphin,s
porpoises,po,rpoises,porpoise,s
waters,wa,ters,water,s
coming,co,ming,com,ing
furnishing,f,urnishing,furnish,ing
house,ho,use,hous,e
changes,c,hanges,change,s
season,s,eason,seas,on
years,y,ears,year,s
experience,e,xperience,experienc,e
evocations,e,vocations,evocation,s
time,t,ime,tim,e
place,p,lace,plac,e
encounter,e,ncounter,encount,er
man,ma,n,m,an
world,wo,rld,worl,d
otter,o,tter,ott,er
name,na,me,nam,e
species,s,pecies,specie,s
marshes,ma,rshes,marshe,s
flat,fla,t,fla,t
animal,a,nimal,anim,al
literature,li,terature,literatur,e
compliment,co,mpliment,complimen,t
series,s,eries,serie,s
photographs,p,hotographs,photograph,s
drawings,d,rawings,drawing,s
book,bo,ok,boo,k
author,a,uthor,auth,or
saga,sa,ga,sag,a
otter,o,tter,ott,er
journey,jo,urney,journe,y
plane,p,lane,plan,e
train,tra,in,tra,in
wash,wa,sh,w,ash
basin,ba,sin,bas,in
water,wa,ter,wat,er
tap,ta,p,t,ap
detail,de,tail,det,ail
owner,o,wner,own,er
habits,ha,bits,habit,s
ear,e,ar,e,ar
lobes,lo,bes,lobe,s
visitors,vi,sitors,visitor,s
teeth,te,eth,tee,th
bed,be,d,be,d
head,he,ad,hea,d
pillow,pi,llow,pill,ow
drawers,d,rawers,drawer,s
ball,ba,ll,b,all
marbles,ma,rbles,marble,s
games,ga,mes,game,s
hours,ho,urs,hour,s
curiosity,c,uriosity,curiosit,y
elan,e,lan,el,an
inch,in,ch,inc,h
glen,g,len,gl,en
beach,be,ach,beac,h
burn,bu,rn,bur,n
hours,ho,urs,hour,s
ledge,le,dge,ledg,e
cliff,c,liff,clif,f
faith,fa,ith,fai,th
life,li,fe,lif,e
year,y,ear,ye,ar
day,da,y,da,y
idyll,i,dyll,idyl,l
reader,re,ader,read,er
discovery,dis,covery,discover,y
world,wo,rld,worl,d
personality,p,ersonality,personalit,y
solitude,s,olitude,solitud,e
loneliness,lo,neliness,lonelines,s
beings,be,ings,being,s
pressure,p,ressure,pressur,e
awareness,a,wareness,awarenes,s
sharpening,s,harpening,sharpen,ing
senses,s,enses,sense,s
interdependence,in,terdependence,interdependenc,e
knowledge,k,nowledge,knowledg,e
need,ne,ed,n,eed
creature,c,reature,creatur,e
people,p,eople,peopl,e
time,t,ime,tim,e
love,lo,ve,lov,e
orb,o,rb,or,b
world,wo,rld,worl,d
wave,wa,ve,wav,e
water,wa,ter,wat,er
mixture,m,ixture,mixtur,e
trust,t,rust,trus,t
abuse,a,buse,abus,e
passion,pa,ssion,passi,on
irritation,i,rritation,irritati,on
turn,t,urn,tur,n
way,wa,y,wa,y
gods,g,ods,god,s
worship,wo,rship,worshi,p
idyll,i,dyll,idyl,l
details,de,tails,detail,s
death,de,ath,dea,th
depth,de,pth,dep,th
story,s,tory,stor,y
edge,e,dge,edg,e
tragedy,tra,gedy,traged,y
Man,M,an,M,an
affection,a,ffection,affecti,on
fealty,fe,alty,fealt,y
form,fo,rm,for,m
road,ro,ad,roa,d
worker,work,er,work,er
pickaxe,pi,ckaxe,pickax,e
symbol,s,ymbol,symbo,l
savage,sa,vage,savag,e
man,ma,n,m,an
coincidence,co,incidence,coincidenc,e
otter,o,tter,ott,er
story,s,tory,stor,y
personality,p,ersonality,personalit,y
book,bo,ok,boo,k
ways,wa,ys,way,s
poet,po,et,po,et
portrait,po,rtrait,portrai,t
painter,pa,inter,paint,er
writer,w,riter,writ,er
journalist,jo,urnalist,journal,ist
traveller,tra,veller,travell,er
zoologist,z,oologist,zoolog,ist
recorder,re,corder,record,er
way,wa,y,wa,y
life,li,fe,lif,e
language,la,nguage,languag,e
reviewer,re,viewer,review,er
book,bo,ok,boo,k
sense,s,ense,sens,e
discovery,dis,covery,discover,y
excitement,e,xcitement,excitemen,t
world,wo,rld,worl,d
performances,p,erformances,performance,s
events,e,vents,event,s
theater,t,heater,theat,er
notion,no,tion,noti,on
techniques,te,chniques,technique,s
classics,c,lassics,classic,s
century,c,entury,centur,y
plays,p,lays,play,s
production,pro,duction,producti,on
classic,c,lassic,class,ic
history,hi,story,histor,y
course,co,urse,cours,e
revivals,re,vivals,revival,s
others,o,thers,other,s
criticism,c,riticism,critic,ism
directors,di,rectors,director,s
notices,no,tices,notice,s
manner,ma,nner,mann,er
producers,pro,ducers,producer,s
instances,in,stances,instance,s
season,s,eason,seas,on
plays,p,lays,play,s
performance,p,erformance,performanc,e
world,wo,rld,worl,d
approval,a,pproval,approv,al
houses,ho,uses,house,s
classic,c,lassic,class,ic
approaches,a,pproaches,approache,s
plays,p,lays,play,s
government,g,overnment,governmen,t
subsidy,s,ubsidy,subsid,y
revival,re,vival,reviv,al
classics,c,lassics,classic,s
policy,po,licy,polic,y
experimenters,e,xperimenters,experimenter,s
characters,c,haracters,character,s
dress,d,ress,dres,s
results,re,sults,result,s
people,p,eople,peopl,e
costumes,co,stumes,costume,s
century,c,entury,centur,y
plays,p,lays,play,s
characters,c,haracters,character,s
season,s,eason,seas,on
experiments,e,xperiments,experiment,s
grief,g,rief,grie,f
consequence,co,nsequence,consequenc,e
productions,pro,ductions,production,s
century,c,entury,centur,y
setting,s,etting,sett,ing
characters,c,haracters,character,s
time,t,ime,tim,e
speaking,s,peaking,speak,ing
lines,li,nes,line,s
effort,e,ffort,effor,t
spirit,s,pirit,spiri,t
century,c,entury,centur,y
elegance,e,legance,eleganc,e
men,m,en,,men
emphasis,e,mphasis,emphasi,s
poetry,po,etry,poetr,y
expense,e,xpense,expens,e
drama,d,rama,dram,a
response,re,sponse,respons,e
principle,p,rinciple,principl,e
playing,p,laying,play,ing
comedy,co,medy,comed,y
idea,i,dea,ide,a
figure,fi,gure,figur,e
character,c,haracter,charact,er
specialists,s,pecialists,specialist,s
years,y,ears,year,s
clowns,c,lowns,clown,s
approaches,a,pproaches,approache,s
role,ro,le,rol,e
country,co,untry,countr,y
death,de,ath,dea,th
time,t,ime,tim,e
playing,p,laying,play,ing
moments,m,oments,moment,s
comedy,co,medy,comed,y
man,ma,n,m,an
years,y,ears,year,s
innocence,in,nocence,innocenc,e
part,pa,rt,par,t
treatment,t,reatment,treatmen,t
critic,c,ritic,crit,ic
Pity,P,ity,Pit,y
age,a,ge,ag,e
year,y,ear,ye,ar
criticism,c,riticism,critic,ism
comedy,co,medy,comed,y
tragedy,tra,gedy,traged,y
stuff,s,tuff,stuf,f
tragedy,tra,gedy,traged,y
play,p,lay,pla,y
comedy,co,medy,comed,y
tour,to,ur,to,ur
hypocrite,h,ypocrite,hypocrit,e
wife,wi,fe,wif,e
zealot,ze,alot,zealo,t
buffoon,bu,ffoon,buffo,on
historians,hi,storians,historian,s
benefactor,be,nefactor,benefact,or
production,pro,duction,producti,on
mean,m,ean,me,an
face,fa,ce,fac,e
gestures,g,estures,gesture,s
stares,s,tares,stare,s
sensuality,s,ensuality,sensualit,y
glances,g,lances,glance,s
speeches,s,peeches,speeche,s
course,co,urse,cours,e
sincerity,s,incerity,sincerit,y
concern,co,ncern,concer,n
job,jo,b,jo,b
impersonation,i,mpersonation,impersonati,on
laughs,la,ughs,laugh,s
shifts,s,hifts,shift,s
personality,p,ersonality,personalit,y
role,ro,le,rol,e
way,wa,y,wa,y
transformation,tra,nsformation,transformati,on
parts,pa,rts,part,s
specialty,s,pecialty,specialt,y
man,ma,n,m,an
embodiment,e,mbodiment,embodimen,t
meanness,m,eanness,meannes,s
slyness,s,lyness,slynes,s
dean,de,an,de,an
company,co,mpany,compan,y
actor,a,ctor,act,or
point,po,int,poin,t
service,s,ervice,servic,e
function,f,unction,functi,on
legend,le,gend,legen,d
actors,a,ctors,actor,s
pay,pa,y,pa,y
acting,a,cting,act,ing
service,s,ervice,servic,e
stage,s,tage,stag,e
actor,a,ctor,act,or
man,ma,n,m,an
company,co,mpany,compan,y
parts,pa,rts,part,s
leads,le,ads,lead,s
farce,fa,rce,farc,e
roles,ro,les,role,s
innovation,in,novation,innovati,on
trickster,tri,ckster,trickst,er
tradition,tra,dition,traditi,on
servant,s,ervant,servan,t
strategy,s,trategy,strateg,y
courtship,co,urtship,courtshi,p
master,ma,ster,mast,er
agility,a,gility,agilit,y
superiority,s,uperiority,superiorit,y
gentlemen,g,entlemen,gentle,men
role,ro,le,rol,e
qualities,qua,lities,qualitie,s
city,c,ity,cit,y
toughs,to,ughs,tough,s
world,wo,rld,worl,d
directness,di,rectness,directnes,s
quality,qua,lity,qualit,y
master,ma,ster,mast,er
servant,s,ervant,servan,t
gypsy,g,ypsy,gyps,y
artist,a,rtist,art,ist
power,po,wer,pow,er
art,a,rt,ar,t
channels,c,hannels,channel,s
jazz,ja,zz,jaz,z
guitarist,g,uitarist,guitar,ist
business,bu,siness,busines,s
style,s,tyle,styl,e
jazz,ja,zz,jaz,z
records,re,cords,record,s
jazz,ja,zz,jaz,z
man,ma,n,m,an
fingers,fi,ngers,finger,s
hand,ha,nd,han,d
cigarette,c,igarette,cigarett,e
jazz,ja,zz,jaz,z
album,a,lbum,alb,um
tracks,tra,cks,track,s
item,i,tem,ite,m
mention,m,ention,menti,on
course,co,urse,cours,e
men,m,en,,men
history,hi,story,histor,y
jazz,ja,zz,jaz,z
violin,vi,olin,viol,in
proceedings,pro,ceedings,proceeding,s
minutes,m,inutes,minute,s
trombonist,t,rombonist,trombon,ist
chicken,c,hicken,chick,en
farmer,fa,rmer,farm,er
anchor,a,nchor,anch,or
points,po,ints,point,s
jazz,ja,zz,jaz,z
days,da,ys,day,s
ship,s,hip,shi,p
horn,ho,rn,hor,n
land,la,nd,lan,d
years,y,ears,year,s
album,a,lbum,alb,um
trumpet,t,rumpet,trump,et
clarinet,c,larinet,clarin,et
piano,pi,ano,pian,o
guitar,g,uitar,guit,ar
bass,ba,ss,bas,s
drums,d,rums,drum,s
set,s,et,s,et
style,s,tyle,styl,e
fashion,fa,shion,fashi,on
must,m,ust,mus,t
elements,e,lements,element,s
jazz,ja,zz,jaz,z
hands,ha,nds,hand,s
gems,g,ems,gem,s
concert,co,ncert,concer,t
composers,co,mposers,composer,s
portion,po,rtion,porti,on
program,pro,gram,progra,m
portion,po,rtion,porti,on
concertos,co,ncertos,concerto,s
violin,vi,olin,viol,in
wit,wi,t,wi,t
evening,e,vening,even,ing
man,ma,n,m,an
years,y,ears,year,s
persons,p,ersons,person,s
grandchildren,gra,ndchildren,grandchildr,en
respects,re,spects,respect,s
allowances,a,llowances,allowance,s
occasion,o,ccasion,occasi,on
playing,p,laying,play,ing
part,pa,rt,par,t
evening,e,vening,even,ing
works,work,s,work,s
potboiler,po,tboiler,potboil,er
dances,da,nces,dance,s
stew,s,tew,st,ew
hesitation,he,sitation,hesitati,on
bounce,bo,unce,bounc,e
side,s,ide,sid,e
composer,co,mposer,compos,er
category,ca,tegory,categor,y
works,work,s,work,s
tune,t,une,tun,e
woodwind,wo,odwind,woodwin,d
brass,b,rass,bras,s
effect,e,ffect,effec,t
potboilers,po,tboilers,potboiler,s
breath,b,reath,brea,th
air,a,ir,ai,r
form,fo,rm,for,m
works,work,s,work,s
change,c,hange,chang,e
change,c,hange,chang,e
diet,di,et,di,et
performances,p,erformances,performance,s
woman,wo,man,wom,an
insemination,in,semination,inseminati,on
wishes,wi,shes,wishe,s
husband,hu,sband,husban,d
heroine,he,roine,heroin,e
import,i,mport,impor,t
viewer,vi,ewer,view,er
situation,s,ituation,situati,on
discussion,dis,cussion,discussi,on
problem,pro,blem,proble,m
form,fo,rm,for,m
subject,s,ubject,subjec,t
matter,ma,tter,matt,er
wrath,w,rath,wra,th
role,ro,le,rol,e
sincerity,s,incerity,sincerit,y
heroine,he,roine,heroin,e
explanation,e,xplanation,explanati,on
conduct,co,nduct,conduc,t
attempt,a,ttempt,attemp,t
marriage,ma,rriage,marriag,e
husband,hu,sband,husban,d
result,re,sult,resul,t
automobile,a,utomobile,automobil,e
accident,a,ccident,acciden,t
husband,hu,sband,husban,d
type,t,ype,typ,e
course,co,urse,cours,e
divorce,di,vorce,divorc,e
action,a,ction,acti,on
actor,a,ctor,act,or
role,ro,le,rol,e
direction,di,rection,directi,on
father,fa,ther,fath,er
bystander,b,ystander,bystand,er
trial,tri,al,tri,al
scene,s,cene,scen,e
frankness,f,rankness,franknes,s
language,la,nguage,languag,e
credibility,c,redibility,credibilit,y
jury,ju,ry,jur,y
surprise,s,urprise,surpris,e
question,que,stion,questi,on
husband,hu,sband,husban,d
case,ca,se,cas,e
wife,wi,fe,wif,e
matter,ma,tter,matt,er
place,p,lace,plac,e
audience,a,udience,audienc,e
change,c,hange,chang,e
bill,bi,ll,bil,l
season,s,eason,seas,on
miscellanies,mis,cellanies,miscellanie,s
program,pro,gram,progra,m
doubt,do,ubt,doub,t
idea,i,dea,ide,a
elegance,e,legance,eleganc,e
artistry,a,rtistry,artistr,y
presentations,p,resentations,presentation,s
circus,c,ircus,circu,s
sense,s,ense,sens,e
word,wo,rd,wor,d
audience,a,udience,audienc,e
time,t,ime,tim,e
manner,ma,nner,mann,er
audiences,a,udiences,audience,s
end,e,nd,en,d
program,pro,gram,progra,m
demonstration,de,monstration,demonstrati,on
minutes,m,inutes,minute,s
bit,bi,t,bi,t
number,nu,mber,numb,er
number,nu,mber,numb,er
diehards,di,ehards,diehard,s
plea,p,lea,ple,a
house,ho,use,hous,e
manager,ma,nager,manag,er
party,pa,rty,part,y
intention,in,tention,intenti,on
circus,c,ircus,circu,s
difference,di,fference,differenc,e
quality,qua,lity,qualit,y
level,le,vel,lev,el
evidence,e,vidence,evidenc,e
company,co,mpany,compan,y
excerpt,e,xcerpt,excerp,t
version,ve,rsion,versi,on
music,m,usic,mus,ic
men,m,en,,men
women,wo,men,wo,men
books,bo,oks,book,s
comedy,co,medy,comed,y
cavorting,ca,vorting,cavort,ing
tricks,tri,cks,trick,s
madmen,ma,dmen,mad,men
body,bo,dy,bod,y
soloists,s,oloists,soloist,s
stage,s,tage,stag,e
extreme,e,xtreme,extrem,e
character,c,haracter,charact,er
excerpt,e,xcerpt,excerp,t
ballet,ba,llet,ball,et
evening,e,vening,even,ing
man,ma,n,m,an
ballets,ba,llets,ballet,s
scene,s,cene,scen,e
ballet,ba,llet,ball,et
hero,he,ro,her,o
spirit,s,pirit,spiri,t
shadows,s,hadows,shadow,s
course,co,urse,cours,e
ensemble,e,nsemble,ensembl,e
adagio,a,dagio,adagi,o
passage,pa,ssage,passag,e
difficulty,di,fficulty,difficult,y
loveliness,lo,veliness,lovelines,s
adagio,a,dagio,adagi,o
medium,m,edium,medi,um
piece,pi,ece,piec,e
ballerina,ba,llerina,ballerin,a
miracles,m,iracles,miracle,s
beauty,be,auty,beaut,y
threesome,t,hreesome,threesom,e
accomplishments,a,ccomplishments,accomplishment,s
male,ma,le,mal,e
competition,co,mpetition,competiti,on
hits,hi,ts,hit,s
work,work,,wor,k
ladies,la,dies,ladie,s
section,s,ection,secti,on
program,pro,gram,progra,m
numbers,nu,mbers,number,s
merit,m,erit,meri,t
arrangement,a,rrangement,arrangemen,t
excerpts,e,xcerpts,excerpt,s
ensemble,e,nsemble,ensembl,e
variation,va,riation,variati,on
adagios,a,dagios,adagio,s
veils,ve,ils,veil,s
acrobacy,a,crobacy,acrobac,y
case,ca,se,cas,e
character,c,haracter,charact,er
version,ve,rsion,versi,on
conductor,co,nductor,conduct,or
evening,e,vening,even,ing
year,y,ear,ye,ar
power,po,wer,pow,er
responsibility,re,sponsibility,responsibilit,y
masses,ma,sses,masse,s
notes,no,tes,note,s
campaign,ca,mpaign,campaig,n
pace,pa,ce,pac,e
festival,fe,stival,festiv,al
notes,no,tes,note,s
questions,que,stions,question,s
answers,a,nswers,answer,s
members,m,embers,member,s
quantities,qua,ntities,quantitie,s
facts,fa,cts,fact,s
nature,na,ture,natur,e
politics,po,litics,politic,s
course,co,urse,cours,e
election,e,lection,electi,on
history,hi,story,histor,y
papers,pa,pers,paper,s
deal,de,al,de,al
election,e,lection,electi,on
book,bo,ok,boo,k
journalism,jo,urnalism,journal,ism
eyewitness,e,yewitness,eyewitnes,s
contribution,co,ntribution,contributi,on
history,hi,story,histor,y
novelist,no,velist,novel,ist
reporter,re,porter,report,er
zest,ze,st,zes,t
detail,de,tail,det,ail
sensitivity,s,ensitivity,sensitivit,y
atmosphere,a,tmosphere,atmospher,e
industry,in,dustry,industr,y
prose,pro,se,pros,e
effectiveness,e,ffectiveness,effectivenes,s
book,bo,ok,boo,k
narrative,na,rrative,narrativ,e
introduction,in,troduction,introducti,on
politics,po,litics,politic,s
author,a,uthor,auth,or
volume,vo,lume,volum,e
family,fa,mily,famil,y
entourage,e,ntourage,entourag,e
returns,re,turns,return,s
consideration,co,nsideration,considerati,on
hopefuls,ho,pefuls,hopeful,s
order,o,rder,ord,er
primary,p,rimary,primar,y
campaigns,ca,mpaigns,campaign,s
conventions,co,nventions,convention,s
campaign,ca,mpaign,campaig,n
process,pro,cess,proces,s
length,le,ngth,leng,th
matters,ma,tters,matter,s
importance,i,mportance,importanc,e
race,ra,ce,rac,e
religion,re,ligion,religi,on
tradition,tra,dition,traditi,on
bosses,bo,sses,bosse,s
organizations,o,rganizations,organization,s
volunteers,vo,lunteers,volunteer,s
television,te,levision,televisi,on
opinions,o,pinions,opinion,s
details,de,tails,detail,s
mouth,m,outh,mou,th
insiders,in,siders,insider,s
reporters,re,porters,reporter,s
suspicion,s,uspicion,suspici,on
distrust,dis,trust,distrus,t
history,hi,story,histor,y
campaign,ca,mpaign,campaig,n
issues,i,ssues,issue,s
philosophy,p,hilosophy,philosoph,y
campaign,ca,mpaign,campaig,n
politician,po,litician,politici,an
man,ma,n,m,an
planners,p,lanners,planner,s
time,t,ime,tim,e
effort,e,ffort,effor,t
regions,re,gions,region,s
opportunities,o,pportunities,opportunitie,s
indecision,in,decision,indecisi,on
chances,c,hances,chance,s
television,te,levision,televisi,on
man,ma,n,m,an
stretches,s,tretches,stretche,s
introspection,in,trospection,introspecti,on
wife,wi,fe,wif,e
man,ma,n,m,an
talent,ta,lent,talen,t
man,ma,n,m,an
impulses,i,mpulses,impulse,s
friend,f,riend,frien,d
seeker,s,eeker,seek,er
eagerness,e,agerness,eagernes,s
people,p,eople,peopl,e
connection,co,nnection,connecti,on
candidate,ca,ndidate,candidat,e
politics,po,litics,politic,s
levels,le,vels,level,s
staff,s,taff,staf,f
experts,e,xperts,expert,s
volunteers,vo,lunteers,volunteer,s
decision,de,cision,decisi,on
grounds,g,rounds,ground,s
Efficiency,E,fficiency,Efficienc,y
chance,c,hance,chanc,e
friendship,f,riendship,friendshi,p
reporters,re,porters,reporter,s
doubt,do,ubt,doub,t
pressures,p,ressures,pressure,s
candidates,ca,ndidates,candidate,s
decisions,de,cisions,decision,s
fatigue,fa,tigue,fatigu,e
illness,i,llness,illnes,s
strain,s,train,stra,in
candidates,ca,ndidates,candidate,s
subordinates,s,ubordinates,subordinate,s
roles,ro,les,role,s
comments,co,mments,comment,s
root,ro,ot,roo,t
question,que,stion,questi,on
politics,po,litics,politic,s
Man,M,an,M,an
politics,po,litics,politic,s
people,p,eople,peopl,e
weight,we,ight,weigh,t
names,na,mes,name,s
heroes,he,roes,heroe,s
straw,s,traw,str,aw
men,m,en,,men
politics,po,litics,politic,s
step,s,tep,ste,p
bridge,b,ridge,bridg,e
names,na,mes,name,s
warmth,wa,rmth,warm,th
connection,co,nnection,connecti,on
life,li,fe,lif,e
politics,po,litics,politic,s
platform,p,latform,platfor,m
program,pro,gram,progra,m
party,pa,rty,part,y
purpose,p,urpose,purpos,e
emotion,e,motion,emoti,on
platforms,p,latforms,platform,s
program,pro,gram,progra,m
party,pa,rty,part,y
vision,vi,sion,visi,on
conscience,co,nscience,conscienc,e
candidate,ca,ndidate,candidat,e
party,pa,rty,part,y
Nostalgia,N,ostalgia,Nostalgi,a
week,we,ek,wee,k
appearance,a,ppearance,appearanc,e
night,ni,ght,nigh,t
night,ni,ght,nigh,t
list,li,st,l,ist
celebrities,c,elebrities,celebritie,s
evening,e,vening,even,ing
excerpts,e,xcerpts,excerpt,s
singer,s,inger,sing,er
rewards,re,wards,reward,s
evening,e,vening,even,ing
tribute,tri,bute,tribut,e
figure,fi,gure,figur,e
times,t,imes,time,s
accomplishments,a,ccomplishments,accomplishment,s
part,pa,rt,par,t
gallantry,ga,llantry,gallantr,y
looks,lo,oks,look,s
gown,g,own,gow,n
orchestra,o,rchestra,orchestr,a
keys,k,eys,key,s
orchestra,o,rchestra,orchestr,a
singer,s,inger,sing,er
adventures,a,dventures,adventure,s
pitch,pi,tch,pitc,h
night,ni,ght,nigh,t
fairness,fa,irness,fairnes,s
flashes,fla,shes,flashe,s
stylist,s,tylist,styl,ist
yesteryear,y,esteryear,yesterye,ar
flashes,fla,shes,flashe,s
vocalism,vo,calism,vocal,ism
moment,m,oment,momen,t
way,wa,y,wa,y
cadenza,ca,denza,cadenz,a
years,y,ears,year,s
point,po,int,poin,t
artist,a,rtist,art,ist
reputation,re,putation,reputati,on
time,t,ime,tim,e
program,pro,gram,progra,m
tenor,te,nor,ten,or
stadium,s,tadium,stadi,um
debut,de,but,debu,t
occasion,o,ccasion,occasi,on
voice,vo,ice,voic,e
whiteness,whi,teness,whitenes,s
volume,vo,lume,volum,e
problem,pro,blem,proble,m
Radio,R,adio,Radi,o
television,te,levision,televisi,on
strides,s,trides,stride,s
minority,m,inority,minorit,y
listener,li,stener,listen,er
costs,co,sts,cost,s
number,nu,mber,numb,er
stations,s,tations,station,s
factors,fa,ctors,factor,s
specialization,s,pecialization,specializati,on
outlets,o,utlets,outlet,s
concerts,co,ncerts,concert,s
jazz,ja,zz,jaz,z
lectures,le,ctures,lecture,s
events,e,vents,event,s
phenomenon,p,henomenon,phenomen,on
amount,a,mount,amoun,t
publicity,p,ublicity,publicit,y
growth,g,rowth,grow,th
operations,o,perations,operation,s
listeners,li,steners,listener,s
audience,a,udience,audienc,e
people,p,eople,peopl,e
$20,000,000,000,$2,0,000,000,000,$20,000,000,00,0
year,y,ear,ye,ar
course,co,urse,cours,e
listener,li,stener,listen,er
share,s,hare,shar,e
television,te,levision,televisi,on
watching,wa,tching,watch,ing
lot,lo,t,lo,t
products,pro,ducts,product,s
fact,fa,ct,fac,t
copy,co,py,cop,y
bid,bi,d,bi,d
favor,fa,vor,fav,or
sponsors,s,ponsors,sponsor,s
models,m,odels,model,s
commercials,co,mmercials,commercial,s
number,nu,mber,numb,er
radio,ra,dio,radi,o
stations,s,tations,station,s
evidence,e,vidence,evidenc,e
listener,li,stener,listen,er
support,s,upport,suppor,t
advertisers,a,dvertisers,advertiser,s
time,t,ime,tim,e
salesmen,sa,lesmen,sales,men
